keys,en,en_XA
time.phase.midday,Midday,[~~Midday~~]
time.phase.afternoon,Afternoon,[~~Afternoon~~]
time.phase.dusk,Dusk,[~~Dusk~~]
time.phase.night,Night,[~~Night~~]
time.phase.deep_night,Deep Night,[~~Deep Night~~]
ui.inventory.title,Satchel,[~~Satchel~~]
ui.inventory.empty,You are carrying nothing.,[~~You are carrying nothing.~~]
ui.inventory.hint,Enter to hold or stow  ·  Escape to close,[~~Enter to hold or stow  ·  Escape to close~~]
ui.inventory.row,{item}  x{count},[~~{item}  x{count}~~]
ui.inventory.row.held,{item}  x{count}   [in hand],[~~{item}  x{count}   [in hand]~~]
ui.inventory.unknown,Unrecorded ({id}),[~~Unrecorded ({id})~~]
item.category.tool,Tools,[~~Tools~~]
item.category.consumable,Provisions,[~~Provisions~~]
item.category.key_item,Key Items,[~~Key Items~~]
item.category.quest,Errands,[~~Errands~~]
item.category.material,Materials,[~~Materials~~]
item.category.clothing,Garments,[~~Garments~~]
item.category.document,Papers,[~~Papers~~]
item.category.treasure,Treasures,[~~Treasures~~]
area.lantern_hall.name,Lantern Hall,[~~Lantern Hall~~]
ui.loading.working,Loading,[~~Loading~~]
ui.loading.progress,Loading {percent}%,[~~Loading {percent}%~~]
object.door.hall_in.label,Hall Door,[~~Hall Door~~]
object.door.hall_out.label,Courtyard Door,[~~Courtyard Door~~]
object.sign.hall.label,Brass Plaque,[~~Brass Plaque~~]
object.sign.hall.text,"Lanterns are lit here at all hours, and no hour is admitted. Whatever the sky is doing outside, it is not doing it in the Lantern Hall.","[~~Lanterns are lit here at all hours, and no hour is admitted. Whatever the sky is doing outside, it is not doing it in the Lantern Hall.~~]"
object.chest.hall.label,Iron Coffer,[~~Iron Coffer~~]
ui.dialogue.continue,Space to continue,[~~Space to continue~~]
object.gardener.label,The Garden-Keeper,[~~The Garden-Keeper~~]
talk.gardener.name,Garden-Keeper,[~~Garden-Keeper~~]
talk.gardener.greet_first,"You are the first face I have seen since the frost. Mind the thorns, and do not touch the white roses.","[~~You are the first face I have seen since the frost. Mind the thorns, and do not touch the white roses.~~]"
talk.gardener.greet_again,"Back again. The roses have not moved, in case you were wondering.","[~~Back again. The roses have not moved, in case you were wondering.~~]"
talk.gardener.menu,"Well? Ask, or do not.","[~~Well? Ask, or do not.~~]"
talk.gardener.choice.who,Who are you?,[~~Who are you?~~]
talk.gardener.choice.gate,What is behind the north gate?,[~~What is behind the north gate?~~]
talk.gardener.choice.leave,Nothing. Good day.,[~~Nothing. Good day.~~]
talk.gardener.choice.again,Something else.,[~~Something else.~~]
talk.gardener.who,"I keep the garden. That is the whole of it, and it is more than enough.","[~~I keep the garden. That is the whole of it, and it is more than enough.~~]"
talk.gardener.gate,"The hall. Lanterns burning at every hour, and no hour admitted. Throw the lever if you must.","[~~The hall. Lanterns burning at every hour, and no hour admitted. Throw the lever if you must.~~]"
verb.scrutinise,Observe,[~~Observe~~]
verb.inquire,Ask About,[~~Ask About~~]
verb.barter,Barter,[~~Barter~~]
verb.guide,Ask to Guide,[~~Ask to Guide~~]
verb.soothe,Reassure,[~~Reassure~~]
refusal.low_standing,They do not know you well enough. ({standing} of {needed}),[~~They do not know you well enough. ({standing} of {needed})~~]
action.keeper.scrutinise.label,The Keeper's Hands,[~~The Keeper's Hands~~]
action.keeper.scrutinise.success,"Soil under every nail, and a thorn-scar across the left palm. This one does the work themselves.","[~~Soil under every nail, and a thorn-scar across the left palm. This one does the work themselves.~~]"
action.keeper.barter.label,The Keeper's Basket,[~~The Keeper's Basket~~]
action.keeper.barter.success,"They part with a handful of petals, and almost smile.","[~~They part with a handful of petals, and almost smile.~~]"
action.keeper.barter.failure,"They look at the basket, then at you, and move it to their other arm.","[~~They look at the basket, then at you, and move it to their other arm.~~]"
action.keeper.barter.refused,Not for a stranger.,[~~Not for a stranger.~~]
weather.clear,Clear skies,[~~Clear skies~~]
weather.cloudy,Cloud,[~~Cloud~~]
weather.overcast,Overcast,[~~Overcast~~]
weather.rain,Rain,[~~Rain~~]
weather.storm,Storm,[~~Storm~~]
weather.fog,Fog,[~~Fog~~]
weather.snow,Snow,[~~Snow~~]
weather.wind,Wind,[~~Wind~~]
notify.weather.turns,The sky turns to {weather},[~~The sky turns to {weather}~~]
ui.menu.title,Gulistan,[~~Gulistan~~]
ui.menu.new_game,New Game,[~~New Game~~]
ui.menu.continue,Continue — Slot {slot},[~~Continue — Slot {slot}~~]
ui.menu.load,Load Game,[~~Load Game~~]
ui.menu.settings,Settings,[~~Settings~~]
ui.menu.controls,Controls,[~~Controls~~]
ui.menu.quit,Quit,[~~Quit~~]
ui.pause.title,Paused,[~~Paused~~]
ui.pause.status,{area}  ·  played {played},[~~{area}  ·  played {played}~~]
ui.pause.resume,Resume,[~~Resume~~]
ui.pause.save,Save Game,[~~Save Game~~]
ui.pause.main_menu,Main Menu,[~~Main Menu~~]
ui.pause.hint,Escape to resume,[~~Escape to resume~~]
ui.settings.title,Settings,[~~Settings~~]
ui.settings.hint,Left and right to change a row · Escape to close,[~~Left and right to change a row · Escape to close~~]
ui.settings.row,{label}  —  {value},[~~{label}  —  {value}~~]
ui.settings.on,On,[~~On~~]
ui.settings.off,Off,[~~Off~~]
ui.settings.unlimited,Unlimited,[~~Unlimited~~]
ui.settings.value.percent,{percent}%,[~~{percent}%~~]
ui.settings.value.multiplier,x{value},[~~x{value}~~]
ui.settings.reset,Reset everything to defaults,[~~Reset everything to defaults~~]
ui.settings.section.video,Video,[~~Video~~]
ui.settings.section.audio,Audio,[~~Audio~~]
ui.settings.section.gameplay,Gameplay,[~~Gameplay~~]
ui.settings.section.accessibility,Accessibility,[~~Accessibility~~]
ui.settings.section.general,General,[~~General~~]
ui.settings.video.window_mode,Window,[~~Window~~]
ui.settings.video.window_mode.0,Windowed,[~~Windowed~~]
ui.settings.video.window_mode.1,Borderless,[~~Borderless~~]
ui.settings.video.window_mode.2,Fullscreen,[~~Fullscreen~~]
ui.settings.video.vsync,Vertical sync,[~~Vertical sync~~]
ui.settings.video.vsync.0,Off,[~~Off~~]
ui.settings.video.vsync.1,On,[~~On~~]
ui.settings.video.vsync.2,Adaptive,[~~Adaptive~~]
ui.settings.video.vsync.3,Mailbox,[~~Mailbox~~]
ui.settings.video.max_fps,Frame cap,[~~Frame cap~~]
ui.settings.video.resolution_scale,Render scale,[~~Render scale~~]
ui.settings.video.bloom,Bloom,[~~Bloom~~]
ui.settings.video.depth_of_field,Tilt-shift blur,[~~Tilt-shift blur~~]
ui.settings.video.shadows,Shadows,[~~Shadows~~]
ui.settings.audio.master,Master volume,[~~Master volume~~]
ui.settings.audio.music,Music,[~~Music~~]
ui.settings.audio.ambience,Ambience,[~~Ambience~~]
ui.settings.audio.sfx,Sound effects,[~~Sound effects~~]
ui.settings.audio.ui,Interface,[~~Interface~~]
ui.settings.gameplay.text_speed,Text speed,[~~Text speed~~]
ui.settings.gameplay.run_is_toggle,Run is a toggle,[~~Run is a toggle~~]
ui.settings.gameplay.show_interact_hints,Interaction prompts,[~~Interaction prompts~~]
ui.settings.gameplay.camera_shake,Screen shake,[~~Screen shake~~]
ui.settings.gameplay.autosave,Autosave,[~~Autosave~~]
ui.settings.accessibility.text_scale,Text size,[~~Text size~~]
ui.settings.accessibility.reduce_motion,Reduce motion,[~~Reduce motion~~]
ui.settings.accessibility.high_contrast_prompts,High-contrast prompts,[~~High-contrast prompts~~]
ui.settings.accessibility.hold_to_confirm,Hold to confirm,[~~Hold to confirm~~]
ui.settings.locale,Language,[~~Language~~]
ui.save.title,Save Game,[~~Save Game~~]
ui.load.title,Load Game,[~~Load Game~~]
ui.save.slot,Slot {slot}  ·  {when}  ·  {played} played,[~~Slot {slot}  ·  {when}  ·  {played} played~~]
ui.save.empty,Slot {slot}  ·  empty,[~~Slot {slot}  ·  empty~~]
ui.save.autosave,Autosave  ·  {when}  ·  {played} played,[~~Autosave  ·  {when}  ·  {played} played~~]
ui.save.autosave_empty,Autosave  ·  none yet,[~~Autosave  ·  none yet~~]
ui.save.hint,Escape to go back,[~~Escape to go back~~]
notify.game_saved,Saved to slot {slot}.,[~~Saved to slot {slot}.~~]
notify.autosaved,Autosaved.,[~~Autosaved.~~]
notify.save_failed,Slot {slot} could not be written.,[~~Slot {slot} could not be written.~~]
ui.rebind.title,Controls,[~~Controls~~]
ui.rebind.hint,Press a row then press the key or button you want · Escape to cancel,[~~Press a row then press the key or button you want · Escape to cancel~~]
ui.rebind.row,{action}  —  {key}  /  {pad},[~~{action}  —  {key}  /  {pad}~~]
ui.rebind.listening,{action}  —  press anything...,[~~{action}  —  press anything...~~]
ui.rebind.unbound,—,[~~—~~]
ui.rebind.reset,Reset every binding to defaults,[~~Reset every binding to defaults~~]
ui.action.move_up,Move forward,[~~Move forward~~]
ui.action.move_down,Move back,[~~Move back~~]
ui.action.move_left,Move left,[~~Move left~~]
ui.action.move_right,Move right,[~~Move right~~]
ui.action.run,Run,[~~Run~~]
ui.action.sneak,Sneak,[~~Sneak~~]
ui.action.interact,Interact,[~~Interact~~]
ui.action.interact_cycle,Next target,[~~Next target~~]
ui.action.cancel,Cancel,[~~Cancel~~]
ui.action.inventory,Satchel,[~~Satchel~~]
ui.action.journal,Journal,[~~Journal~~]
ui.action.map,Map,[~~Map~~]
ui.action.pause,Pause,[~~Pause~~]
ui.journal.title,Journal,[~~Journal~~]
ui.journal.empty,Nobody has asked anything of you.,[~~Nobody has asked anything of you.~~]
ui.journal.hint,Escape to close,[~~Escape to close~~]
ui.journal.active,Underway,[~~Underway~~]
ui.journal.complete,Settled,[~~Settled~~]
ui.journal.objective,— {objective},[~~— {objective}~~]
ui.journal.progress,— {objective}   {have} / {need},[~~— {objective}   {have} / {need}~~]
ui.journal.done,Nothing left to do.,[~~Nothing left to do.~~]
ui.journal.unknown,A forgotten errand ({id}),[~~A forgotten errand ({id})~~]
notify.quest.started,New errand: {quest},[~~New errand: {quest}~~]
notify.quest.advanced,{quest} — next step,[~~{quest} — next step~~]
notify.quest.completed,{quest} is settled,[~~{quest} is settled~~]
quest.keepers_errand.name,The Keeper's Errand,[~~The Keeper's Errand~~]
quest.keepers_errand.summary,"The garden-keeper would rather the north gate stood open, the dais were walked, and three rose petals were gathered.","[~~The garden-keeper would rather the north gate stood open, the dais were walked, and three rose petals were gathered.~~]"
quest.keepers_errand.step.unlock,Unlock the north gate.,[~~Unlock the north gate.~~]
quest.keepers_errand.step.dais,Stand on the dais.,[~~Stand on the dais.~~]
quest.keepers_errand.step.petals,Gather three rose petals.,[~~Gather three rose petals.~~]
item.brass_lantern.name,Brass Lantern,[~~Brass Lantern~~]
object.gate.arch.label,Shadowed Arch,[~~Shadowed Arch~~]
object.gate.arch.locked,"It is pitch dark beyond the arch, and you have no light in hand.","[~~It is pitch dark beyond the arch, and you have no light in hand.~~]"
object.gate.arch.opened,"Lantern raised, the dark under the arch gives way.","[~~Lantern raised, the dark under the arch gives way.~~]"
ui.map.title,World Map,[~~World Map~~]
ui.map.hint,Enter to travel  ·  Escape to close,[~~Enter to travel  ·  Escape to close~~]
ui.map.empty,No map has been drawn of this world.,[~~No map has been drawn of this world.~~]
ui.map.unknown,???,[~~???~~]
ui.map.here,{area}  ·  you are here,[~~{area}  ·  you are here~~]
notify.map.discovered,{area} is added to your map,[~~{area} is added to your map~~]
ui.debug.console.title,Debug console,[~~Debug console~~]
ui.debug.console.hint,goto <area>   flag <key>:<value>   time HH:MM   give <id>[:n],[~~goto <area>   flag <key>:<value>   time HH:MM   give <id>[:n]~~]
